# 气象站 北京(机场), 中国, METAR=ZBAA，选择从 01.01.2014 至 31.12.2015, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/metar.php?metar=ZBAA&lang=cn
#
"当地时间 北京(机场)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2015 23:00";"-6.0";"768.0";"771.9";"80";"从东北方吹来的风";"1";"";"霾";"";"无明显的云";"5.0";"-9.0";
"31.12.2015 22:30";"-5.0";"768.0";"771.9";"74";"风向多变";"1";"";"";"";"无明显的云";"6.0";"-9.0";
"31.12.2015 22:00";"-6.0";"768.8";"772.7";"74";"从东北偏北方向吹来的风";"1";"";"";"";"无明显的云";"6.0";"-10.0";
"31.12.2015 21:30";"-4.0";"768.8";"772.7";"74";"从东北偏东方向吹来的风";"1";"";"";"";"无明显的云";"6.0";"-8.0";
"31.12.2015 21:00";"-6.0";"768.8";"772.7";"74";"从东北偏东方向吹来的风";"1";"";"";"";"无明显的云";"6.0";"-10.0";
"31.12.2015 20:00";"-2.0";"768.8";"772.7";"64";"从东方吹来的风";"1";"";"";"";"无明显的云";"7.0";"-8.0";
"31.12.2015 19:30";"-2.0";"768.8";"772.7";"64";"从东南偏东方向吹来的风";"2";"";"";"";"无明显的云";"8.0";"-8.0";
"31.12.2015 19:00";"-3.0";"769.5";"773.4";"69";"从东方吹来的风";"1";"";"";"";"无明显的云";"8.0";"-8.0";
"31.12.2015 18:30";"-3.0";"768.8";"772.7";"69";"从东方吹来的风";"1";"";"";"";"无明显的云";"8.0";"-8.0";
"31.12.2015 18:00";"-3.0";"768.8";"772.7";"59";"从东方吹来的风";"1";"";"";"";"无明显的云";"8.0";"-10.0";
"31.12.2015 17:00";"1.0";"768.9";"772.7";"44";"从东方吹来的风";"1";"";"";"";"无明显的云";"10.0 大于等于";"-10.0";
"31.12.2015 16:30";"2.0";"769.6";"773.4";"41";"风向多变";"1";"";"";"";"无明显的云";"10.0 大于等于";"-10.0";
"31.12.2015 16:00";"3.0";"769.6";"773.4";"38";"从东南方吹来的风";"1";"";"";"";"无明显的云";"10.0 大于等于";"-10.0";
"31.12.2015 15:30";"4.0";"769.6";"773.4";"36";"风向多变";"1";"";"";"";"无明显的云";"10.0 大于等于";"-10.0";
"31.12.2015 15:00";"4.0";"769.6";"773.4";"33";"从西南偏南方向吹来的风";"2";"";"";"";"无明显的云";"10.0 大于等于";"-11.0";
"31.12.2015 14:00";"4.0";"769.6";"773.4";"36";"从西南偏西方向吹来的风";"2";"";"";"";"无明显的云";"10.0 大于等于";"-10.0";
"31.12.2015 13:30";"3.0";"770.1";"773.9";"35";"风向多变";"1";"";"";"";"无明显的云";"10.0 大于等于";"-11.0";
"31.12.2015 13:00";"3.0";"770.1";"773.9";"35";"从西北偏西方向吹来的风";"2";"8";"";"";"无明显的云";"10.0 大于等于";"-11.0";
"31.12.2015 12:30";"2.0";"770.9";"774.7";"38";"风向多变";"1";"";"";"";"无明显的云";"10.0 大于等于";"-11.0";
