,date,mintemp,maxtemp,meantemp,minpres,maxpres,meanpres,maxhumi,minhumi,meanhumi,meanwdspd,maxdewpt,mindewpt,meandewpt,N_wd,NW_wd,W_wd,SW_wd,S_wd,SE_wd,E_wd,NE_wd,nocld,little,some,much,cloudy,rain
0,27.09.2012,12.0,21.0,15.958333333333334,761.2,763.5,762.4875000000001,100.0,39.0,75.375,3.5833333333333335,16.0,3.0,10.958333333333334,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,28.09.2012,15.0,24.0,19.0,762.0,765.0,763.6166666666667,42.0,10.0,22.875,8.791666666666666,3.0,-10.0,-4.041666666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,29.09.2012,8.0,25.0,16.875,761.2,765.0,763.5416666666666,82.0,17.0,43.583333333333336,2.5,10.0,-3.0,2.1666666666666665,1,1,1,1,1,1,1,1,1,0,0,0,0,0
3,30.09.2012,8.0,26.0,16.833333333333332,760.5,765.0,763.0375,87.0,18.0,52.75,2.2083333333333335,10.0,0.0,5.041666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,1.10.2012,1.0,24.0,11.125,759.7,768.1,763.9159090909092,100.0,11.0,64.20454545454545,2.2954545454545454,12.0,-15.0,2.852272727272727,1,1,1,1,1,1,1,1,1,0,0,0,0,0
5,2.10.2012,6.0,25.0,14.51388888888889,758.2,765.0,761.0958333333333,100.0,24.0,66.88888888888889,2.6527777777777777,15.0,-3.0,7.25,1,1,1,1,1,1,1,1,1,0,0,0,0,0
6,3.10.2012,2.0,25.0,14.027777777777779,758.2,765.8,761.2763888888888,100.0,8.0,55.013888888888886,3.013888888888889,14.0,-16.0,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,4.10.2012,3.0,25.0,14.11111111111111,756.9,768.1,762.1333333333332,100.0,13.0,52.06944444444444,2.5416666666666665,9.0,-12.0,1.75,1,1,1,1,1,1,1,1,1,0,0,0,0,0
8,5.10.2012,6.0,25.0,13.986301369863014,760.5,768.9,764.2479452054795,100.0,29.0,65.76712328767124,1.6849315068493151,12.0,-1.0,6.602739726027397,1,1,1,1,1,1,1,1,1,0,0,0,0,0
9,6.10.2012,7.0,25.0,14.25,762.0,769.6,765.3055555555555,100.0,19.0,71.56944444444444,2.8194444444444446,12.0,-7.0,7.541666666666667,1,1,1,1,1,1,1,1,1,0,0,0,0,0
10,7.10.2012,1.0,24.0,14.041666666666666,760.5,768.9,764.8472222222222,100.0,12.0,57.375,3.1805555555555554,13.0,-12.0,2.9722222222222223,1,1,1,1,1,1,1,1,1,0,0,0,0,0
11,8.10.2012,2.0,23.0,12.652777777777779,761.2,771.9,765.5486111111111,100.0,16.0,61.861111111111114,2.1805555555555554,14.0,-7.0,3.9166666666666665,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,9.10.2012,4.0,23.0,13.041666666666666,759.7,771.9,764.0277777777778,100.0,20.0,61.09722222222222,3.4722222222222223,15.0,-11.0,4.180555555555555,1,1,1,1,1,1,1,1,1,0,0,0,0,0
13,10.10.2012,7.0,21.0,15.541666666666666,762.8,767.3,765.1,76.0,16.0,36.5,3.1666666666666665,5.0,-6.0,-0.9166666666666666,0,1,1,0,0,0,0,0,1,0,0,0,0,0
14,11.10.2012,5.0,22.0,12.52,759.7,764.3,761.992,93.0,25.0,65.52,2.0,8.0,1.0,4.88,1,1,1,1,1,1,1,1,1,0,0,0,0,0
15,12.10.2012,8.0,23.0,14.541666666666666,758.2,761.2,759.4625,88.0,33.0,67.70833333333333,1.875,11.0,5.0,7.625,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,13.10.2012,7.0,20.0,14.0,759.7,765.8,763.0750000000002,94.0,8.0,37.125,4.666666666666667,11.0,-16.0,-5.916666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,14.10.2012,3.0,18.0,10.958333333333334,765.8,768.1,766.4666666666666,76.0,13.0,46.333333333333336,1.8333333333333333,6.0,-12.0,-2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,15.10.2012,8.0,17.0,12.76,765.0,768.9,766.832,87.0,30.0,59.4,1.52,7.0,-1.0,4.28,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19,16.10.2012,7.0,17.0,12.583333333333334,762.0,768.1,763.9416666666666,100.0,21.0,60.5,5.041666666666667,12.0,-7.0,3.375,0,1,0,0,0,0,0,0,1,0,0,0,0,0
